Td	ID	Tj	Df	Dd	Db
111	294	111	0	0	0
112	292	111	0	1	1
112	291	111	0	1	1
112	296	112	0	0	0
112	293	111	0	1	1
113	299	112	0	1	1
113	300	112	0	1	1
113	307	113	0	0	0
114	297	112	0	2	2
114	302	113	0	1	1
114	303	113	0	1	1
114	304	113	0	1	1
114	306	113	0	1	1
115	309	114	0	1	1
115	310	114	0	1	1
115	311	114	0	1	1
115	314	114	0	1	1
115	313	114	0	1	1
116	312	114	0	2	2
119	317	119	0	0	0
120	320	119	0	1	1
120	321	119	0	1	1
120	322	119	0	1	1
120	316	119	0	1	1
120	319	119	0	1	1
125	329	125	0	0	0
125	324	125	0	0	0
125	325	125	0	0	0
126	327	125	0	1	1
126	323	125	0	1	1
126	295	112	0	14	14
126	301	112	0	14	14
126	274	104	2	20	22
126	282	107	1	18	19
126	335	126	0	0	0
127	332	126	0	1	1
127	333	126	0	1	1
127	336	126	1	0	1
127	326	125	0	2	2
127	330	126	0	1	1
127	331	126	0	1	1
132	343	132	0	0	0
132	342	132	0	0	0
132	337	132	0	0	0
133	340	132	0	1	1
133	339	132	0	1	1
136	350	136	0	0	0
137	355	137	0	0	0
137	348	136	0	1	1
137	344	136	0	1	1
137	353	137	0	0	0
137	354	137	0	0	0
138	345	136	0	2	2
138	347	136	0	2	2
138	349	136	0	2	2
138	334	126	1	11	12
139	341	132	0	7	7
139	356	137	1	1	2
139	357	137	1	1	2
139	315	114	0	25	25
139	258	101	1	37	38
139	308	113	2	24	26
139	351	137	2	0	2
140	358	140	0	0	0
140	362	140	0	0	0
141	370	141	0	0	0
141	359	140	0	1	1
141	361	140	0	1	1
141	363	140	0	1	1
141	371	141	0	0	0
141	364	140	0	1	1
141	368	141	0	0	0
142	378	142	0	0	0
142	366	141	0	1	1
143	367	141	2	0	2
143	373	142	0	1	1
143	374	142	0	1	1
145	391	145	0	0	0
145	375	142	0	3	3
145	385	144	1	0	1
145	376	142	0	3	3
145	352	137	1	7	8
145	382	144	0	1	1
145	383	144	0	1	1
145	386	145	0	0	0
145	388	145	0	0	0
146	396	146	0	0	0
146	377	142	0	4	4
146	111	36	0	110	110
146	149	66	0	80	80
146	393	146	0	0	0
148	369	141	0	7	7
148	387	145	1	2	3
148	389	145	1	2	3
148	390	145	1	2	3
148	318	119	0	29	29
148	401	148	0	0	0
148	403	148	0	0	0
149	379	144	1	4	5
149	380	144	1	4	5
149	365	141	0	8	8
150	406	148	2	0	2
150	381	144	1	5	6
150	197	89	0	61	61
150	153	66	0	84	84
150	360	140	0	10	10
150	328	125	0	25	25
150	208	90	0	60	60
151	400	148	2	1	3
151	402	148	2	1	3
151	405	148	2	1	3
151	384	144	1	6	7
156	411	156	0	0	0
156	408	156	0	0	0
157	407	156	0	1	1
157	409	156	0	1	1
157	410	156	0	1	1
157	412	156	0	1	1
158	420	158	0	0	0
158	415	158	0	0	0
158	418	158	0	0	0
158	416	158	0	0	0
159	414	158	0	1	1
159	419	158	0	1	1
159	425	159	0	0	0
160	421	159	0	1	1
160	422	159	0	1	1
160	423	159	0	1	1
160	424	159	0	1	1
161	430	161	0	0	0
161	427	159	0	2	2
161	429	161	0	0	0
161	426	159	0	2	2
161	417	158	0	3	3
161	395	146	1	14	15
161	413	156	0	5	5
161	394	146	1	14	15
161	431	161	0	0	0
161	432	161	0	0	0
161	428	161	0	0	0
162	434	161	0	1	1
162	433	161	0	1	1
170	436	170	0	0	0
170	437	170	0	0	0
170	438	170	0	0	0
170	440	170	0	0	0
171	441	170	0	1	1
171	439	170	0	1	1
172	444	172	0	0	0
173	448	172	0	1	1
173	446	172	0	1	1
173	442	172	0	1	1
173	452	173	0	0	0
173	454	173	0	0	0
173	451	173	0	0	0
174	455	173	0	1	1
174	453	173	0	1	1
174	456	174	0	0	0
174	458	174	0	0	0
174	459	174	0	0	0
174	462	174	0	0	0
175	460	174	0	1	1
175	461	174	0	1	1
175	449	173	0	2	2
175	457	174	0	1	1
175	463	175	0	0	0
175	468	175	0	0	0
175	466	175	0	0	0
175	469	175	0	0	0
176	467	175	0	1	1
176	464	175	0	1	1
177	471	177	0	0	0
177	472	177	0	0	0
177	474	177	0	0	0
178	476	177	0	1	1
178	477	178	0	0	0
178	480	178	0	0	0
178	475	177	0	1	1
178	482	178	0	0	0
178	479	178	0	0	0
179	483	178	0	1	1
183	487	183	0	0	0
183	485	183	0	0	0
184	493	184	0	0	0
184	488	183	0	1	1
184	489	183	0	1	1
184	490	183	0	1	1
185	497	184	0	1	1
185	484	183	0	2	2
185	445	172	0	13	13
185	494	184	0	1	1
185	495	184	0	1	1
188	499	188	0	0	0
188	502	188	0	0	0
188	503	188	0	0	0
189	509	189	0	0	0
189	504	188	0	1	1
189	507	189	0	0	0
189	508	189	0	0	0
189	501	188	0	1	1
190	518	190	0	0	0
190	511	189	0	1	1
190	514	190	0	0	0
190	506	189	0	1	1
191	512	190	1	0	1
191	478	178	0	13	13
191	492	184	0	7	7
191	435	170	0	21	21
191	465	175	0	16	16
192	516	190	0	2	2
192	517	190	0	2	2
192	481	178	0	14	14
192	500	188	0	4	4
193	447	172	0	21	21
193	524	192	1	0	1
193	522	192	0	1	1
193	525	192	0	1	1
194	520	192	0	2	2
194	523	192	1	1	2
194	526	194	0	0	0
194	532	194	0	0	0
195	528	194	0	1	1
195	529	194	0	1	1
195	530	194	0	1	1
195	527	194	0	1	1
195	539	195	0	0	0
196	546	196	0	0	0
196	536	195	0	1	1
196	537	195	0	1	1
196	531	194	0	2	2
