Td	ID	Tj	Df	Dd	Db
446	1262	443	1	2	3
446	1263	443	1	2	3
446	1264	443	1	2	3
446	1266	443	1	2	3
448	2029	12	1	435	436
448	1269	445	2	1	3
448	1273	445	2	1	3
448	1274	445	2	1	3
449	1130	404	0	45	45
449	1195	427	0	22	22
449	988	364	0	85	85
449	1271	445	2	2	4
449	1278	449	0	0	0
450	1288	450	0	0	0
451	1011	371	0	80	80
452	1280	449	1	2	3
452	1281	449	1	2	3
452	1267	443	4	5	9
452	968	353	0	99	99
452	1282	450	1	1	2
452	1283	450	1	1	2
452	1285	450	1	1	2
452	1286	450	1	1	2
452	1275	449	2	1	3
453	1277	449	1	3	4
453	1279	449	1	3	4
453	1276	449	1	3	4
454	1291	454	0	0	0
455	1289	454	0	1	1
455	1295	454	0	1	1
455	1292	454	0	1	1
456	2062	18	2	436	438
456	1301	456	0	0	0
456	1298	456	0	0	0
457	1296	456	0	1	1
457	1302	456	0	1	1
457	1300	456	0	1	1
458	1307	458	0	0	0
458	1309	458	0	0	0
458	1305	458	0	0	0
458	1303	458	0	0	0
459	1308	458	0	1	1
459	1306	458	0	1	1
460	1314	460	0	0	0
460	1311	460	0	0	0
461	1315	460	0	1	1
461	1316	460	0	1	1
461	1310	460	0	1	1
461	1265	443	1	17	18
461	1152	412	0	49	49
461	970	353	0	108	108
461	1160	415	0	46	46
461	1322	461	0	0	0
462	1317	461	0	1	1
462	1318	461	0	1	1
462	1319	461	0	1	1
462	1320	461	0	1	1
463	1325	463	0	0	0
463	1327	463	0	0	0
463	1329	463	0	0	0
464	1323	461	1	2	3
464	1304	458	0	6	6
464	1272	445	2	17	19
464	1313	460	0	4	4
464	1299	456	0	8	8
466	1337	466	0	0	0
466	1331	466	0	0	0
466	1333	466	0	0	0
467	1336	466	1	0	1
467	1321	461	1	5	6
468	1335	466	2	0	2
468	1250	441	1	26	27
468	1332	466	0	2	2
468	1284	450	1	17	18
468	1328	463	0	5	5
468	1249	441	2	25	27
469	1343	469	0	0	0
469	1342	469	0	0	0
469	1344	469	0	0	0
469	1211	430	0	39	39
469	1338	469	0	0	0
469	1341	469	0	0	0
470	1340	469	1	0	1
470	1287	450	1	19	20
471	1334	466	5	0	5
472	1207	430	0	42	42
472	1107	399	0	73	73
472	777	271	1	200	201
472	1339	469	0	3	3
472	1122	401	0	71	71
472	791	279	0	193	193
472	1234	439	0	33	33
472	1324	463	0	9	9
472	510	189	0	283	283
472	1349	472	0	0	0
473	1351	472	1	0	1
473	903	326	0	147	147
473	1348	472	0	1	1
474	1353	474	0	0	0
474	1347	472	1	1	2
474	1355	474	0	0	0
474	1354	474	0	0	0
474	1358	474	0	0	0
475	1148	409	0	66	66
475	793	280	0	195	195
475	841	308	0	167	167
475	1345	472	0	3	3
475	1352	474	0	1	1
477	1361	477	0	0	0
477	1360	477	0	0	0
477	1362	477	0	0	0
478	1359	477	0	1	1
478	1367	478	0	0	0
478	1370	478	0	0	0
479	1366	478	0	1	1
479	1368	478	0	1	1
479	1363	477	0	2	2
481	1374	481	0	0	0
481	1375	481	0	0	0
482	1383	482	0	0	0
482	1385	482	0	0	0
483	1386	482	0	1	1
483	1379	481	0	2	2
483	1381	482	0	1	1
483	1382	482	0	1	1
483	1380	482	0	1	1
484	1384	482	0	2	2
485	1392	485	0	0	0
486	1387	485	0	1	1
486	1388	485	0	1	1
486	1389	485	0	1	1
486	1391	485	0	1	1
487	1394	487	0	0	0
487	1397	487	0	0	0
488	1373	481	0	7	7
488	1390	485	0	3	3
488	1377	481	0	7	7
488	1398	487	0	1	1
488	1400	487	0	1	1
488	1371	478	0	10	10
488	1395	487	0	1	1
489	1407	489	0	0	0
490	1404	489	0	1	1
490	1414	490	0	0	0
491	1403	489	0	2	2
491	1409	490	0	1	1
491	1410	490	0	1	1
491	1412	490	0	1	1
491	1417	491	0	0	0
492	1401	489	0	3	3
492	1402	489	0	3	3
492	1405	489	0	3	3
492	1406	489	0	3	3
493	1413	490	0	3	3
493	1415	491	1	1	2
493	1416	491	1	1	2
494	1421	491	1	2	3
494	1411	490	0	4	4
494	1422	492	1	1	2
494	1424	492	1	1	2
495	1423	492	1	2	3
495	1418	491	1	3	4
496	1433	495	0	1	1
496	1434	495	0	1	1
496	1429	495	0	1	1
496	1430	495	0	1	1
497	1441	497	0	0	0
497	1440	497	0	0	0
497	1442	497	0	0	0
497	1436	497	0	0	0
497	1439	497	0	0	0
498	1437	497	0	1	1
499	1446	499	0	0	0
499	1448	499	0	0	0
500	1449	499	0	1	1
500	1443	499	0	1	1
500	1445	499	0	1	1
Battle Result	Draw

For Earth Army: 
Total number of each unit	1013 ES	223 ET	135 EG	78 EH	
Percentage of  destructed units relative to their total	ES	ET	EG	EH
                                                       	91.8065	70.852	100	100
Percentage of total destructed unit relative to total units	89.7861
The Percentage Of Units Healed Successfully Relative to Total Earth Units Created	20.911
Average of Df	Average of Dd	Average of Db
       0.14143       	6.27594	       6.41737
Df/Db %	Dd/Db %
0.0220386	0.977961


For Alien Army: 
Total number of each unit 	134 AS	617 AM	698 AD	
Percentage of  destructed units relative to their total	AS	AM	AD
                                                       	2.98507	0	0
Percentage of total destructed unit relative to total units	0.276052
Average of Df	Average of Dd	Average of Db
       1       	372.25	       373.25
Df/Db %	Dd/Db %
0.00267917	0.997321
For Saver Army: 
Total number of Saver unit 	8
Percentage of total destructed unit relative to total units	87.5
Average of Df	Average of Dd	Average of Db
       0       	44.4286	       0.857143
Df/Db %	Dd/Db %
0	51.8333
For Infected Soldier: 
Total number of infected Soldiers: 	6
Percantage of infected Soldiers: 	 0.5923
